        Deg.          Ve          P1          P2      dmr/dt      dm1/dt      dm2/dt         Cv1         Cv2       P1-P2
         218      99.060       1.350       1.430      -4.809       0.000       6.570       0.000       0.271      -0.080
         220      99.287       1.335       1.419      -5.064       0.000       6.785       0.000       0.284      -0.084
         221      99.483       1.320       1.408      -5.309       0.000       6.990       0.000       0.297      -0.088
         223      99.647       1.305       1.397      -5.546       0.000       7.185       0.000       0.310      -0.092
         224      99.781       1.290       1.386      -5.774       0.000       7.371       0.000       0.324      -0.096
         226      99.883       1.275       1.375      -5.991       0.000       7.546       0.000       0.337      -0.100
         227      99.953       1.260       1.363      -6.199       0.000       7.712       0.000       0.350      -0.103
         229      99.992       1.245       1.352      -6.396       0.000       7.866       0.000       0.363      -0.107
         230      99.999       1.230       1.340      -6.584       0.000       8.010       0.000       0.376      -0.110
         231      99.974       1.216       1.328      -6.760       0.000       8.143       0.000       0.389      -0.113
         233      99.919       1.201       1.317      -6.926       0.000       8.266       0.000       0.402      -0.115
         234      99.831       1.187       1.305      -7.081       0.000       8.377       0.000       0.415      -0.118
         236      99.712       1.173       1.293      -7.226       0.000       8.478       0.000       0.427      -0.120
         237      99.562       1.159       1.282      -7.360       0.000       8.567       0.000       0.440      -0.123
         239      99.380       1.145       1.270      -7.482       0.000       8.646       0.000       0.452      -0.125
         240      99.167       1.132       1.259      -7.594       0.000       8.714       0.000       0.465      -0.127
         241      98.923       1.119       1.247      -7.695       0.000       8.771       0.000       0.477      -0.128
         243      98.649       1.106       1.235      -7.786       0.000       8.818       0.000       0.488      -0.130
         244      98.343       1.093       1.224      -7.866       0.000       8.854       0.000       0.500      -0.131
         246      98.007       1.080       1.212      -7.935       0.000       8.880       0.000       0.511      -0.132
         247      97.641       1.068       1.201      -7.994       0.000       8.895       0.000       0.523      -0.133
         249      97.244       1.056       1.190      -8.043       0.000       8.900       0.000       0.533      -0.134
         250      96.818       1.044       1.179      -8.082       0.000       8.895       0.000       0.544      -0.135
         252      96.362       1.032       1.167      -8.111       0.000       8.881       0.000       0.554      -0.135
         253      95.877       1.021       1.156      -8.130       0.000       8.856       0.000       0.564      -0.135
         254      95.363       1.010       1.146      -8.139       0.000       8.822       0.000       0.573      -0.136
         256      94.820       0.999       1.135      -8.139       0.000       8.778       0.000       0.582      -0.136
         257      94.249       0.989       1.124      -8.130       0.000       8.725       0.000       0.591      -0.135
         259      93.650       0.979       1.114      -8.111       0.000       8.662       0.000       0.599      -0.135
         260      93.023       0.969       1.104      -8.084       0.000       8.590       0.000       0.606      -0.135
         262      92.369       0.960       1.094      -8.047       0.000       8.509       0.000       0.613      -0.134
         263      91.689       0.950       1.084      -8.001       0.000       8.417       0.000       0.619      -0.133
         264      90.982       0.942       1.074      -7.946       0.000       8.315       0.000       0.624      -0.132
         266      90.249       0.933       1.065      -7.881       0.000       8.199       0.000       0.627      -0.131
         267      89.491       0.925       1.055      -7.804       0.000       8.060       0.000       0.628      -0.130
         269      88.708       0.918       1.046      -7.703       0.000       7.878       0.000       0.625      -0.128
         270      87.900       0.911       1.038      -7.582       0.000       7.688       0.000       0.620      -0.126
         272      87.069       0.905       1.029      -7.450       0.000       7.496       0.000       0.615      -0.124
         273      86.214       0.900       1.021      -7.311       0.000       7.303       0.000       0.608      -0.122
         275      85.336       0.894       1.014      -7.169       0.000       7.110       0.000       0.601      -0.119
